10117 10117 ROOT
Tanikawa is nsubj
1992 TW nummod
TW Tanikawa appos
is is ROOT
a Asteroid det
Main belt amod
belt Asteroid compound
Asteroid is attr
discovered Asteroid acl
on discovered prep
October on pobj
1 October nummod
1992 October nummod
by discovered agent
M. Yanai compound
Yanai by pobj
and Yanai cc
K. Watanabe compound
Watanabe Yanai conj
at Watanabe prep
Kitami at pobj
It named nsubjpass
is named auxpass
named named ROOT
after named prep
Kiyotaka Tanikawa compound
Tanikawa after pobj
an professor det
associate professor amod
professor Tanikawa appos
at professor prep
the Observatory det
National Observatory compound
Astronomical Observatory compound
Observatory at pobj
of Observatory prep
Japan of pobj
who focuses nsubj
focuses professor relcl
on focuses prep
studying on pcomp
the problem det
three body nummod
body problem compound
problem studying dobj
10119 10119 ROOT
Remarque is nsubj
1992 YC1 nummod
YC1 Remarque appos
is is ROOT
a Asteroid det
Main belt amod
belt Asteroid compound
Asteroid is attr
discovered Asteroid acl
on discovered prep
December on pobj
18 December nummod
1992 December nummod
by discovered agent
E. Elst compound
W. Elst compound
Elst by pobj
at Elst prep
Caussols at pobj
It named nsubjpass
is named auxpass
named named ROOT
after named prep
Erich Remarque compound
Maria Remarque compound
Remarque after pobj
a author det
German author amod
author Remarque appos
famous author amod
for famous prep
All Quiet det
Quiet for pobj
on Quiet prep
the Front det
Western Front compound
Front on pobj
Mael Morda compound
Morda starts nsubj
starts starts ROOT
a rebellion det
rebellion starts dobj
against rebellion prep
Brian Boru compound
Boru against pobj
in Boru prep
Ireland in pobj
which ends nsubj
eventually ends advmod
ends Boru relcl
in ends prep
1014 in pobj
at ends prep
the Battle det
Battle at pobj
of Battle prep
Clontarf of pobj
King Coluim compound
Máel Coluim compound
Coluim Cináeda compound
mac Cináeda compound
Cináeda defeats nsubj
of Cináeda prep
Alba of pobj
reputedly defeats advmod
defeats defeats ROOT
a army det
Danish army amod
army defeats dobj
at defeats prep
Cruden Bay compound
Bay at pobj
in Bay prep
Buchan in pobj
Sulayman restored nsubjpass
is restored auxpass
restored restored ROOT
as restored prep
Umayyad caliph nsubj
caliph as pobj
of caliph prep
Cordoba of pobj
succeeding restored advcl
Hisham II compound
II succeeding dobj
King pays nsubj
Aethelred King acl
of Aethelred prep
England of pobj
pays pays ROOT
tribute pays dobj
to pays dative
Viking raiders compound
raiders to pobj
Danegeld raiders appos
Oldrich succeeds nsubj
succeeds succeeds ROOT
Jaromir succeeds dobj
as succeeds prep
duke as pobj
of duke prep
Bohemia of pobj
Fatimid Hakim compound
Caliph Hakim compound
al Hakim compound
Hakim orders nsubj
orders orders ROOT
the destruction det
destruction orders dobj
of destruction prep
all places det
Jewish places amod
and Jewish cc
Christian Jewish conj
places of pobj
of places prep
worship of pobj
April murdered npadvmod
19 April nummod
Archbishop Alphege compound
Alphege murdered nsubjpass
of Alphege prep
Canterbury of pobj
is murdered auxpass
murdered murdered ROOT
by murdered agent
his captors poss
Danish captors amod
captors by pobj
May succeeds npadvmod
18 May nummod
Pope VIII compound
Benedict VIII compound
VIII succeeds nsubj
succeeds succeeds ROOT
Pope IV compound
Sergius IV compound
IV succeeds dobj
as succeeds prep
the pope det
143rd pope compound
pope as pobj
Gregory VI compound
VI becomes nsubj
becomes becomes ROOT
antipope becomes acomp
1012 Sarema nummod
Sarema is nsubj
is is ROOT
an asteroid det
asteroid is attr
It discovered nsubjpass
was discovered auxpass
discovered discovered ROOT
by discovered agent
Karl Reinmuth compound
Wilhelm Reinmuth compound
Reinmuth by pobj
on discovered prep
January on pobj
12 January nummod
1924 January nummod
Its designation poss
provisional designation amod
designation was nsubj
was was ROOT
1924 PM nummod
PM was attr
It named nsubjpass
was named auxpass
named named ROOT
after named prep
a character det
character after pobj
in character prep
a poem det
poem in pobj
by poem prep
Aleksandr Pushkin compound
Pushkin by pobj
made named conj
into made prep
the opera det
opera into pobj
Sarema opera appos
by opera prep
Alexander Zemlinsky compound
von Zemlinsky compound
Zemlinsky by pobj
Sarema rose npadvmod
King Sarema appos
of King prep
Leinster of pobj
Máel Mórda compound
Mórda Murchada compound
mac Murchada compound
Murchada Sarema appos
rose rose ROOT
in rose prep
revolt in pobj
against revolt prep
High King compound
King Boru compound
Brian Boru compound
Boru against pobj
10120 Ypres nummod
Ypres is nsubj
1992 YH2 nummod
YH2 Ypres appos
is is ROOT
a Asteroid det
Main belt amod
belt Asteroid compound
Asteroid is attr
discovered Asteroid acl
on discovered prep
December on pobj
18 December nummod
1992 December nummod
by discovered agent
E. Elst compound
W. Elst compound
Elst by pobj
at Elst prep
Caussols at pobj
It named nsubjpass
is named auxpass
named named ROOT
after named prep
the city det
city after pobj
of city prep
Ypres of pobj
in Ypres prep
Belgium in pobj
that destroyed nsubjpass
was destroyed auxpass
destroyed city relcl
during destroyed prep
World I. compound
War I. compound
I. 10121 compound
10121 during pobj
Arzamas Arzamas ROOT
10121 10121 ROOT
Arzamas is nsubj
is is ROOT
a asteroid det
main asteroid amod
belt asteroid compound
asteroid is attr
with asteroid prep
an period det
orbital period amod
period with pobj
of period prep
2087.9226550 days nummod
days of pobj
5.72 years nummod
years days appos
The asteroid det
asteroid discovered nsubjpass
was discovered auxpass
discovered discovered ROOT
on discovered prep
January on pobj
27 January nummod
1993 January nummod
The asteroid det
asteroid named nsubjpass
is named auxpass
named named ROOT
after named prep
the city det
Russian city amod
city after pobj
Arzamas city appos
10122 10122 ROOT
Fröding is nsubj
is is ROOT
a asteroid det
main asteroid amod
belt asteroid compound
asteroid is attr
with asteroid prep
an period det
orbital period amod
period with pobj
of period prep
2107.0711728 days nummod
days of pobj
5.77 years nummod
years days appos
The asteroid det
asteroid discovered nsubjpass
was discovered auxpass
discovered discovered ROOT
on discovered prep
January on pobj
27 January nummod
1993 January nummod
10123 Fideöja nummod
Fideöja is nsubj
is is ROOT
a asteroid det
main asteroid amod
belt asteroid compound
asteroid is attr
with asteroid prep
an period det
orbital period amod
period with pobj
of period prep
1248.6058968 days nummod
days of pobj
3.42 years nummod
years days appos
The asteroid det
asteroid discovered nsubjpass
was discovered auxpass
discovered discovered ROOT
on discovered prep
March on pobj
17 March nummod
1993 March nummod
10124 Hemse nummod
Hemse is nsubj
is is ROOT
a asteroid det
main asteroid amod
belt asteroid compound
asteroid is attr
with asteroid prep
an period det
orbital period amod
period with pobj
of period prep
1244.7717856 days nummod
days of pobj
3.41 years nummod
years days appos
The asteroid det
asteroid discovered nsubjpass
was discovered auxpass
discovered discovered ROOT
on discovered prep
March on pobj
21 March nummod
1993 March nummod
10125 10125 ROOT
Stenkyrka Stenkyrka ROOT
10125 Stenkyrka nummod
Stenkyrka is nsubj
is is ROOT
a asteroid det
main asteroid amod
belt asteroid compound
asteroid is attr
with asteroid prep
an period det
orbital period amod
period with pobj
of period prep
1181.8186265 days nummod
days of pobj
3.24 years nummod
years days appos
The asteroid det
asteroid discovered nsubjpass
was discovered auxpass
discovered discovered ROOT
on discovered prep
March on pobj
21 March nummod
1993 March nummod
The asteroid det
asteroid named nsubjpass
was named auxpass
named named ROOT
after named prep
Stenkyrka after pobj
a parish det
parish Stenkyrka appos
in parish prep
Sweden in pobj
10126 10126 ROOT
Lärbro Lärbro ROOT
10126 10126 ROOT
Lärbro is nsubj
is is ROOT
a asteroid det
main asteroid amod
belt asteroid compound
asteroid is attr
with asteroid prep
an period det
orbital period amod
period with pobj
of period prep
1198.0509309 days nummod
days of pobj
3.28 years nummod
years days appos
The asteroid det
asteroid discovered nsubjpass
was discovered auxpass
discovered discovered ROOT
on discovered prep
March on pobj
21 March nummod
1993 March nummod
This asteroid det
asteroid named nsubjpass
is named auxpass
named named ROOT
after named prep
Lärbro after pobj
a town det
town Lärbro appos
in town prep
Sweden in pobj
10127 10127 ROOT
Fröjel is nsubj
is is ROOT
a asteroid det
main asteroid amod
belt asteroid compound
asteroid is attr
with asteroid prep
an period det
orbital period amod
period with pobj
of period prep
1199.2741194 days nummod
days of pobj
3.28 years nummod
years days appos
The asteroid det
asteroid discovered nsubjpass
was discovered auxpass
discovered discovered ROOT
on discovered prep
March on pobj
21 March nummod
1993 March nummod
10128 Bro nummod
Bro is nsubj
is is ROOT
a asteroid det
main asteroid amod
belt asteroid compound
asteroid is attr
with asteroid prep
an period det
orbital period amod
period with pobj
of period prep
1247.8932269 days nummod
days of pobj
3.42 years nummod
years days appos
The asteroid det
asteroid discovered nsubjpass
was discovered auxpass
discovered discovered ROOT
in discovered prep
March in pobj
19 March nummod
1993 March nummod
10129 Fole nummod
Fole is nsubj
is is ROOT
a asteroid det
main asteroid amod
belt asteroid compound
asteroid is attr
with asteroid prep
an period det
orbital period amod
period with pobj
of period prep
1164.4126764 days nummod
days of pobj
3.19 years nummod
years days appos
The asteroid det
asteroid discovered nsubjpass
was discovered auxpass
discovered discovered ROOT
on discovered prep
March on pobj
19 March nummod
1993 March nummod
December King compound
King Sweyn compound
Sweyn leads npadvmod
I leads nsubj
leads leads ROOT
a invasion det
Danish invasion amod
invasion leads dobj
of invasion prep
England of pobj
King Ethelred nsubj
Ethelred Ethelred ROOT
flees Ethelred dobj
to Ethelred dative
Normandy to pobj
and Ethelred cc
Sweyn becomes nsubj
becomes Ethelred conj
King becomes attr
of King prep
England of pobj
The Poles det
Poles withdraw nsubj
withdraw withdraw ROOT
from withdraw prep
Pomerania from pobj
approximate date amod
date Pomerania appos
The Jews det
Jews expelled nsubjpass
are expelled auxpass
expelled expelled ROOT
from expelled prep
the caliphate det
caliphate from pobj
of caliphate prep
Córdoba of pobj
German King amod
King II compound
Henry II compound
II conducts nsubj
conducts conducts ROOT
his campaign poss
second campaign amod
Italian campaign amod
military campaign amod
campaign conducts dobj
Estimation Estimation ROOT
Kaifeng becomes nsubj
