1054 Forsytia nummod
Forsytia is nsubj
is is ROOT
an asteroid det
asteroid is attr
discovered asteroid acl
on discovered prep
20 November nummod
November on pobj
1925 November nummod
by discovered agent
German astronomer amod
astronomer Reinmuth compound
Karl Reinmuth compound
William Reinmuth compound
Reinmuth by pobj
in Reinmuth prep
Heidelberg in pobj
It named nsubjpass
is named auxpass
named named ROOT
after named prep
the genus det
Forsythia genus compound
genus after pobj
of genus prep
flowering shrubs amod
shrubs of pobj
10540 10540 ROOT
Hachigoroh is nsubj
1991 VP4 nummod
VP4 Hachigoroh appos
is is ROOT
a Asteroid det
Main belt amod
belt Asteroid compound
Asteroid is attr
discovered Asteroid acl
on discovered prep
November on pobj
13 November nummod
1991 November nummod
by discovered agent
S. Otomo compound
Otomo by pobj
at discovered prep
Kiyosato at pobj
10542 Ruckers nummod
Ruckers is nsubj
1992 CN3 nummod
CN3 Ruckers appos
is is ROOT
a Asteroid det
Main belt amod
belt Asteroid compound
Asteroid is attr
discovered Asteroid acl
on discovered prep
February on pobj
2 February nummod
1992 February nummod
by discovered agent
E. Elst compound
W. Elst compound
Elst by pobj
at Elst prep
the Observatory det
European Observatory compound
Southern Observatory compound
Observatory at pobj
10543 10543 ROOT
Klee is nsubj
1992 DL4 nummod
DL4 Klee appos
is is ROOT
a Asteroid det
Main belt amod
belt Asteroid compound
Asteroid is attr
discovered Asteroid acl
on discovered prep
February on pobj
27 February nummod
1992 February nummod
by discovered agent
F. Borngen compound
Borngen by pobj
at Borngen prep
Tautenburg at pobj
10546 10546 ROOT
Nakanomakoto is nsubj
1992 FS1 nummod
FS1 Nakanomakoto appos
is is ROOT
a Asteroid det
Main belt amod
belt Asteroid compound
Asteroid is attr
discovered Asteroid acl
on discovered prep
March on pobj
28 March nummod
1992 March nummod
by discovered agent
K. Endate compound
Endate by pobj
and Endate cc
K. Watanabe compound
Watanabe Endate conj
at Watanabe prep
Kitami at pobj
10547 10547 ROOT
Yosakoi is nsubj
1992 JF nummod
JF Yosakoi appos
is is ROOT
a Asteroid det
Main belt amod
belt Asteroid compound
Asteroid is attr
discovered Asteroid acl
on discovered prep
May on pobj
2 May nummod
1992 May nummod
by discovered agent
T. Seki compound
Seki by pobj
at Seki prep
Geisei at pobj
10549 Helsingborg nummod
Helsingborg is nsubj
1992 RM2 nummod
RM2 Helsingborg appos
is is ROOT
a Asteroid det
Main belt amod
belt Asteroid compound
Asteroid is attr
discovered Asteroid acl
on discovered prep
September on pobj
2 September nummod
1992 September nummod
by discovered agent
E. Elst compound
W. Elst compound
Elst by pobj
at Elst prep
the Observatory det
European Observatory compound
Southern Observatory compound
Observatory at pobj
January reigning npadvmod
11 January nummod
Theodora reigning nsubj
becomes reigning aux
reigning reigning ROOT
empress reigning dobj
of empress prep
the Empire det
Byzantine Empire compound
Empire of pobj
April succeeds npadvmod
13 April nummod
Pope II compound
Victor II compound
II succeeds nsubj
succeeds succeeds ROOT
Pope IX compound
Leo IX compound
IX succeeds dobj
as succeeds prep
the pope det
153rd pope amod
pope as pobj
October defeated npadvmod
24 October nummod
